"export-plot data (NetLogo 6.1.0)"
"riproduzione_capelli_occhi.nlogo"
"06/29/2019 18:02:39:193 +0200"

"MODEL SETTINGS"
"initial-female-number","starting-brown-eye-prob","starting-blonds-prob","turtle-size","initial-male-number","max-population-number","starting-browns-prob","starting-blue-eye-prob"
"210","40","42","2","210","1880","40","46"

"""Combinazioni di geni"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","8380","0","1490","true","""castani occhi neri""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""castani occhi neri""","true","0","1","0","6899"
"""castani occhi blu""","true","0","1","105","6899"
"""biondi occhi neri""","true","0","1","15","6899"
"""biondi occhi blu""","true","0","1","26","6899"

"""castani occhi neri""",,,,"""castani occhi blu""",,,,"""biondi occhi neri""",,,,"""biondi occhi blu"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","133","0","true","0","121","105","true","0","84","15","true","0","82","26","true"
"1","140","0","true","1","124","105","true","1","87","15","true","1","82","26","true"
"2","140","0","true","2","125","105","true","2","89","15","true","2","82","26","true"
"3","144","0","true","3","128","105","true","3","90","15","true","3","83","26","true"
"4","149","0","true","4","130","105","true","4","92","15","true","4","85","26","true"
"5","152","0","true","5","132","105","true","5","94","15","true","5","86","26","true"
"6","159","0","true","6","134","105","true","6","95","15","true","6","86","26","true"
"7","163","0","true","7","135","105","true","7","95","15","true","7","87","26","true"
"8","168","0","true","8","141","105","true","8","102","15","true","8","89","26","true"
"9","177","0","true","9","147","105","true","9","103","15","true","9","90","26","true"
"10","178","0","true","10","147","105","true","10","106","15","true","10","90","26","true"
"11","185","0","true","11","150","105","true","11","108","15","true","11","90","26","true"
"12","191","0","true","12","156","105","true","12","111","15","true","12","90","26","true"
"13","201","0","true","13","163","105","true","13","115","15","true","13","92","26","true"
"14","212","0","true","14","169","105","true","14","117","15","true","14","93","26","true"
"15","230","0","true","15","175","105","true","15","120","15","true","15","94","26","true"
"16","245","0","true","16","181","105","true","16","121","15","true","16","97","26","true"
"17","261","0","true","17","187","105","true","17","123","15","true","17","99","26","true"
"18","272","0","true","18","192","105","true","18","127","15","true","18","103","26","true"
"19","287","0","true","19","192","105","true","19","128","15","true","19","106","26","true"
"20","302","0","true","20","199","105","true","20","131","15","true","20","108","26","true"
"21","317","0","true","21","208","105","true","21","133","15","true","21","112","26","true"
"22","335","0","true","22","215","105","true","22","133","15","true","22","115","26","true"
"23","352","0","true","23","222","105","true","23","135","15","true","23","120","26","true"
"24","370","0","true","24","228","105","true","24","138","15","true","24","120","26","true"
"25","392","0","true","25","233","105","true","25","147","15","true","25","120","26","true"
"26","406","0","true","26","241","105","true","26","155","15","true","26","122","26","true"
"27","426","0","true","27","250","105","true","27","159","15","true","27","123","26","true"
"28","442","0","true","28","257","105","true","28","166","15","true","28","125","26","true"
"29","460","0","true","29","264","105","true","29","172","15","true","29","129","26","true"
"30","479","0","true","30","269","105","true","30","181","15","true","30","129","26","true"
"31","499","0","true","31","278","105","true","31","188","15","true","31","133","26","true"
"32","518","0","true","32","286","105","true","32","191","15","true","32","135","26","true"
"33","542","0","true","33","291","105","true","33","201","15","true","33","138","26","true"
"34","576","0","true","34","300","105","true","34","208","15","true","34","143","26","true"
"35","588","0","true","35","308","105","true","35","217","15","true","35","145","26","true"
"36","615","0","true","36","314","105","true","36","226","15","true","36","147","26","true"
"37","638","0","true","37","325","105","true","37","230","15","true","37","150","26","true"
"38","666","0","true","38","338","105","true","38","240","15","true","38","152","26","true"
"39","700","0","true","39","344","105","true","39","247","15","true","39","157","26","true"
"40","723","0","true","40","356","105","true","40","253","15","true","40","158","26","true"
"41","753","0","true","41","368","105","true","41","266","15","true","41","164","26","true"
"42","793","0","true","42","380","105","true","42","277","15","true","42","166","26","true"
"43","828","0","true","43","397","105","true","43","286","15","true","43","173","26","true"
"44","849","0","true","44","409","105","true","44","294","15","true","44","178","26","true"
"45","874","0","true","45","426","105","true","45","304","15","true","45","179","26","true"
"46","922","0","true","46","438","105","true","46","315","15","true","46","179","26","true"
"47","941","0","true","47","442","105","true","47","317","15","true","47","180","26","true"
"48","941","0","true","48","442","105","true","48","317","15","true","48","180","26","true"
"49","941","0","true","49","442","105","true","49","317","15","true","49","180","26","true"
"50","941","0","true","50","442","105","true","50","317","15","true","50","180","26","true"
"51","941","0","true","51","442","105","true","51","317","15","true","51","180","26","true"
"52","941","0","true","52","442","105","true","52","317","15","true","52","180","26","true"
"53","941","0","true","53","442","105","true","53","317","15","true","53","180","26","true"
"54","941","0","true","54","442","105","true","54","317","15","true","54","180","26","true"
"55","941","0","true","55","442","105","true","55","317","15","true","55","180","26","true"
"56","998","0","true","56","470","105","true","56","326","15","true","56","188","26","true"
"57","996","0","true","57","467","105","true","57","324","15","true","57","185","26","true"
"58","993","0","true","58","465","105","true","58","320","15","true","58","183","26","true"
"59","983","0","true","59","462","105","true","59","318","15","true","59","182","26","true"
"60","977","0","true","60","461","105","true","60","317","15","true","60","180","26","true"
"61","970","0","true","61","456","105","true","61","313","15","true","61","176","26","true"
"62","967","0","true","62","455","105","true","62","312","15","true","62","176","26","true"
"63","964","0","true","63","450","105","true","63","310","15","true","63","174","26","true"
"64","959","0","true","64","444","105","true","64","308","15","true","64","171","26","true"
"65","1004","0","true","65","463","105","true","65","321","15","true","65","175","26","true"
"66","999","0","true","66","455","105","true","66","317","15","true","66","172","26","true"
"67","995","0","true","67","450","105","true","67","314","15","true","67","170","26","true"
