"export-plot data (NetLogo 6.1.0)"
"riproduzione_capelli_occhi.nlogo"
"06/29/2019 18:02:28:955 +0200"

"MODEL SETTINGS"
"initial-female-number","starting-brown-eye-prob","starting-blonds-prob","turtle-size","initial-male-number","max-population-number","starting-browns-prob","starting-blue-eye-prob"
"210","40","42","2","210","1880","40","46"

"""genere popolazione"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","8380","0","1050","true","""Numero di uomini""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Numero di uomini""","true","0","1","105","6899"
"""Numero di donne""","true","0","1","126","6899"

"""Numero di uomini""",,,,"""Numero di donne"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","210","105","true","0","210","126","true"
"1","215","105","true","1","218","126","true"
"2","217","105","true","2","219","126","true"
"3","222","105","true","3","223","126","true"
"4","226","105","true","4","230","126","true"
"5","230","105","true","5","234","126","true"
"6","238","105","true","6","236","126","true"
"7","241","105","true","7","239","126","true"
"8","253","105","true","8","247","126","true"
"9","259","105","true","9","258","126","true"
"10","260","105","true","10","261","126","true"
"11","267","105","true","11","266","126","true"
"12","275","105","true","12","273","126","true"
"13","291","105","true","13","280","126","true"
"14","302","105","true","14","289","126","true"
"15","316","105","true","15","303","126","true"
"16","331","105","true","16","313","126","true"
"17","340","105","true","17","330","126","true"
"18","354","105","true","18","340","126","true"
"19","360","105","true","19","353","126","true"
"20","379","105","true","20","361","126","true"
"21","395","105","true","21","375","126","true"
"22","407","105","true","22","391","126","true"
"23","420","105","true","23","409","126","true"
"24","430","105","true","24","426","126","true"
"25","450","105","true","25","442","126","true"
"26","466","105","true","26","458","126","true"
"27","481","105","true","27","477","126","true"
"28","499","105","true","28","491","126","true"
"29","514","105","true","29","511","126","true"
"30","531","105","true","30","527","126","true"
"31","545","105","true","31","553","126","true"
"32","559","105","true","32","571","126","true"
"33","580","105","true","33","592","126","true"
"34","603","105","true","34","624","126","true"
"35","620","105","true","35","638","126","true"
"36","641","105","true","36","661","126","true"
"37","667","105","true","37","676","126","true"
"38","690","105","true","38","706","126","true"
"39","713","105","true","39","735","126","true"
"40","734","105","true","40","756","126","true"
"41","771","105","true","41","780","126","true"
"42","807","105","true","42","809","126","true"
"43","839","105","true","43","845","126","true"
"44","861","105","true","44","869","126","true"
"45","878","105","true","45","905","126","true"
"46","913","105","true","46","941","126","true"
"47","928","105","true","47","952","126","true"
"48","928","105","true","48","952","126","true"
"49","928","105","true","49","952","126","true"
"50","928","105","true","50","952","126","true"
"51","928","105","true","51","952","126","true"
"52","928","105","true","52","952","126","true"
"53","928","105","true","53","952","126","true"
"54","928","105","true","54","952","126","true"
"55","928","105","true","55","952","126","true"
"56","972","105","true","56","1010","126","true"
"57","966","105","true","57","1006","126","true"
"58","961","105","true","58","1000","126","true"
"59","948","105","true","59","997","126","true"
"60","946","105","true","60","989","126","true"
"61","937","105","true","61","978","126","true"
"62","936","105","true","62","974","126","true"
"63","931","105","true","63","967","126","true"
"64","920","105","true","64","962","126","true"
"65","964","105","true","65","999","126","true"
"66","956","105","true","66","987","126","true"
"67","948","105","true","67","981","126","true"
"68","943","105","true","68","975","126","true"
"69","929","105","true","69","969","126","true"
"70","945","105","true","70","987","126","true"
"71","936","105","true","71","983","126","true"
"72","929","105","true","72","977","126","true"
"73","918","105","true","73","964","126","true"
"74","929","105","true","74","974","126","true"
"75","947","105","true","75","970","126","true"
"76","938","105","true","76","961","126","true"
"77","930","105","true","77","955","126","true"
"78","937","105","true","78","949","126","true"
"79","937","105","true","79","963","126","true"
"80","937","105","true","80","965","126","true"
"81","936","105","true","81","956","126","true"
"82","933","105","true","82","957","126","true"
"83","929","105","true","83","956","126","true"
"84","927","105","true","84","960","126","true"
"85","923","105","true","85","967","126","true"
"86","916","105","true","86","970","126","true"
"87","914","105","true","87","963","126","true"
"88","918","105","true","88","960","126","true"
"89","925","105","true","89","953","126","true"
"90","927","105","true","90","953","126","true"
"91","926","105","true","91","949","126","true"
"92","927","105","true","92","955","126","true"
"93","922","105","true","93","959","126","true"
"94","920","105","true","94","959","126","true"
"95","920","105","true","95","954","126","true"
"96","921","105","true","96","955","126","true"
