"export-plot data (NetLogo 6.1.0)"
"riproduzione_capelli_occhi.nlogo"
"06/29/2019 18:02:34:507 +0200"

"MODEL SETTINGS"
"initial-female-number","starting-brown-eye-prob","starting-blonds-prob","turtle-size","initial-male-number","max-population-number","starting-browns-prob","starting-blue-eye-prob"
"210","40","42","2","210","1880","40","46"

"""popolazione"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","7440","0","1840","true","""biondi""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""biondi""","true","0","1","45","6899"
"""castani""","true","0","1","35","6899"
"""occhi neri""","true","0","1","0","6899"
"""occhi azzurri""","true","0","1","95","6899"

"""biondi""",,,,"""castani""",,,,"""occhi neri""",,,,"""occhi azzurri"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","166","45","true","0","254","35","true","0","217","0","true","0","203","95","true"
"1","169","45","true","1","264","35","true","1","227","0","true","1","206","95","true"
"2","171","45","true","2","265","35","true","2","229","0","true","2","207","95","true"
"3","173","45","true","3","272","35","true","3","234","0","true","3","211","95","true"
"4","177","45","true","4","279","35","true","4","241","0","true","4","215","95","true"
"5","180","45","true","5","284","35","true","5","246","0","true","5","218","95","true"
"6","181","45","true","6","293","35","true","6","254","0","true","6","220","95","true"
"7","182","45","true","7","298","35","true","7","258","0","true","7","222","95","true"
"8","191","45","true","8","309","35","true","8","270","0","true","8","230","95","true"
"9","193","45","true","9","324","35","true","9","280","0","true","9","237","95","true"
"10","196","45","true","10","325","35","true","10","284","0","true","10","237","95","true"
"11","198","45","true","11","335","35","true","11","293","0","true","11","240","95","true"
"12","201","45","true","12","347","35","true","12","302","0","true","12","246","95","true"
"13","207","45","true","13","364","35","true","13","316","0","true","13","255","95","true"
"14","210","45","true","14","381","35","true","14","329","0","true","14","262","95","true"
"15","214","45","true","15","405","35","true","15","350","0","true","15","269","95","true"
"16","218","45","true","16","426","35","true","16","366","0","true","16","278","95","true"
"17","222","45","true","17","448","35","true","17","384","0","true","17","286","95","true"
"18","230","45","true","18","464","35","true","18","399","0","true","18","295","95","true"
"19","234","45","true","19","479","35","true","19","415","0","true","19","298","95","true"
"20","239","45","true","20","501","35","true","20","433","0","true","20","307","95","true"
"21","245","45","true","21","525","35","true","21","450","0","true","21","320","95","true"
"22","248","45","true","22","550","35","true","22","468","0","true","22","330","95","true"
"23","255","45","true","23","574","35","true","23","487","0","true","23","342","95","true"
"24","258","45","true","24","598","35","true","24","508","0","true","24","348","95","true"
"25","267","45","true","25","625","35","true","25","539","0","true","25","353","95","true"
"26","277","45","true","26","647","35","true","26","561","0","true","26","363","95","true"
"27","282","45","true","27","676","35","true","27","585","0","true","27","373","95","true"
"28","291","45","true","28","699","35","true","28","608","0","true","28","382","95","true"
"29","301","45","true","29","724","35","true","29","632","0","true","29","393","95","true"
"30","310","45","true","30","748","35","true","30","660","0","true","30","398","95","true"
"31","321","45","true","31","777","35","true","31","687","0","true","31","411","95","true"
"32","326","45","true","32","804","35","true","32","709","0","true","32","421","95","true"
"33","339","45","true","33","833","35","true","33","743","0","true","33","429","95","true"
"34","351","45","true","34","876","35","true","34","784","0","true","34","443","95","true"
"35","362","45","true","35","896","35","true","35","805","0","true","35","453","95","true"
"36","373","45","true","36","929","35","true","36","841","0","true","36","461","95","true"
"37","380","45","true","37","963","35","true","37","868","0","true","37","475","95","true"
"38","392","45","true","38","1004","35","true","38","906","0","true","38","490","95","true"
"39","404","45","true","39","1044","35","true","39","947","0","true","39","501","95","true"
"40","411","45","true","40","1079","35","true","40","976","0","true","40","514","95","true"
"41","430","45","true","41","1121","35","true","41","1019","0","true","41","532","95","true"
"42","443","45","true","42","1173","35","true","42","1070","0","true","42","546","95","true"
"43","459","45","true","43","1225","35","true","43","1114","0","true","43","570","95","true"
"44","472","45","true","44","1258","35","true","44","1143","0","true","44","587","95","true"
"45","483","45","true","45","1300","35","true","45","1178","0","true","45","605","95","true"
"46","494","45","true","46","1360","35","true","46","1237","0","true","46","617","95","true"
"47","497","45","true","47","1383","35","true","47","1258","0","true","47","622","95","true"
"48","497","45","true","48","1383","35","true","48","1258","0","true","48","622","95","true"
"49","497","45","true","49","1383","35","true","49","1258","0","true","49","622","95","true"
"50","497","45","true","50","1383","35","true","50","1258","0","true","50","622","95","true"
"51","497","45","true","51","1383","35","true","51","1258","0","true","51","622","95","true"
"52","497","45","true","52","1383","35","true","52","1258","0","true","52","622","95","true"
"53","497","45","true","53","1383","35","true","53","1258","0","true","53","622","95","true"
"54","497","45","true","54","1383","35","true","54","1258","0","true","54","622","95","true"
"55","497","45","true","55","1383","35","true","55","1258","0","true","55","622","95","true"
"56","514","45","true","56","1468","35","true","56","1324","0","true","56","658","95","true"
"57","509","45","true","57","1463","35","true","57","1320","0","true","57","652","95","true"
"58","503","45","true","58","1458","35","true","58","1313","0","true","58","648","95","true"
"59","500","45","true","59","1445","35","true","59","1301","0","true","59","644","95","true"
"60","497","45","true","60","1438","35","true","60","1294","0","true","60","641","95","true"
"61","489","45","true","61","1426","35","true","61","1283","0","true","61","632","95","true"
"62","488","45","true","62","1422","35","true","62","1279","0","true","62","631","95","true"
"63","484","45","true","63","1414","35","true","63","1274","0","true","63","624","95","true"
"64","479","45","true","64","1403","35","true","64","1267","0","true","64","615","95","true"
"65","496","45","true","65","1467","35","true","65","1325","0","true","65","638","95","true"
"66","489","45","true","66","1454","35","true","66","1316","0","true","66","627","95","true"
"67","484","45","true","67","1445","35","true","67","1309","0","true","67","620","95","true"
"68","481","45","true","68","1437","35","true","68","1303","0","true","68","615","95","true"
"69","475","45","true","69","1423","35","true","69","1296","0","true","69","602","95","true"
"70","473","45","true","70","1459","35","true","70","1327","0","true","70","605","95","true"
"71","470","45","true","71","1449","35","true","71","1318","0","true","71","601","95","true"
"72","466","45","true","72","1440","35","true","72","1312","0","true","72","594","95","true"
"73","455","45","true","73","1427","35","true","73","1301","0","true","73","581","95","true"
"74","460","45","true","74","1443","35","true","74","1322","0","true","74","581","95","true"
"75","458","45","true","75","1459","35","true","75","1335","0","true","75","582","95","true"
"76","451","45","true","76","1448","35","true","76","1321","0","true","76","578","95","true"
"77","446","45","true","77","1439","35","true","77","1312","0","true","77","573","95","true"
"78","443","45","true","78","1443","35","true","78","1315","0","true","78","571","95","true"
"79","441","45","true","79","1459","35","true","79","1333","0","true","79","567","95","true"
"80","438","45","true","80","1464","35","true","80","1338","0","true","80","564","95","true"
"81","431","45","true","81","1461","35","true","81","1332","0","true","81","560","95","true"
"82","428","45","true","82","1462","35","true","82","1330","0","true","82","560","95","true"
"83","426","45","true","83","1459","35","true","83","1328","0","true","83","557","95","true"
"84","425","45","true","84","1462","35","true","84","1337","0","true","84","550","95","true"
"85","428","45","true","85","1462","35","true","85","1338","0","true","85","552","95","true"
"86","425","45","true","86","1461","35","true","86","1338","0","true","86","548","95","true"
"87","420","45","true","87","1457","35","true","87","1338","0","true","87","539","95","true"
"88","419","45","true","88","1459","35","true","88","1338","0","true","88","540","95","true"
"89","418","45","true","89","1460","35","true","89","1336","0","true","89","542","95","true"
"90","418","45","true","90","1462","35","true","90","1340","0","true","90","540","95","true"
"91","414","45","true","91","1461","35","true","91","1340","0","true","91","535","95","true"
"92","412","45","true","92","1470","35","true","92","1342","0","true","92","540","95","true"
"93","413","45","true","93","1468","35","true","93","1342","0","true","93","539","95","true"
"94","409","45","true","94","1470","35","true","94","1341","0","true","94","538","95","true"
"95","404","45","true","95","1470","35","true","95","1336","0","true","95","538","95","true"
"96","404","45","true","96","1472","35","true","96","1345","0","true","96","531","95","true"
"97","402","45","true","97","1469","35","true","97","1344","0","true","97","527","95","true"
"98","406","45","true","98","1470","35","true","98","1342","0","true","98","534","95","true"
"99","406","45","true","99","1463","35","true","99","1335","0","true","99","534","95","true"
"100","405","45","true","100","1460","35","true","100","1334","0","true","100","531","95","true"
"101","405","45","true","101","1477","35","true","101","1348","0","true","101","534","95","true"
"102","402","45","true","102","1471","35","true","102","1353","0","true","102","520","95","true"
"103","403","45","true","103","1471","35","true","103","1361","0","true","103","513","95","true"
"104","407","45","true","104","1467","35","true","104","1362","0","true","104","512","95","true"
"105","403","45","true","105","1461","35","true","105","1356","0","true","105","508","95","true"
"106","401","45","true","106","1455","35","true","106","1349","0","true","106","507","95","true"
"107","407","45","true","107","1465","35","true","107","1367","0","true","107","505","95","true"
"108","413","45","true","108","1467","35","true","108","1375","0","true","108","505","95","true"
"109","414","45","true","109","1475","35","true","109","1376","0","true","109","513","95","true"
"110","417","45","true","110","1477","35","true","110","1380","0","true","110","514","95","true"
"111","417","45","true","111","1469","35","true","111","1371","0","true","111","515","95","true"
"112","417","45","true","112","1485","35","true","112","1383","0","true","112","519","95","true"
"113","415","45","true","113","1477","35","true","113","1383","0","true","113","509","95","true"
"114","421","45","true","114","1481","35","true","114","1384","0","true","114","518","95","true"
"115","418","45","true","115","1492","35","true","115","1387","0","true","115","523","95","true"
"116","424","45","true","116","1493","35","true","116","1395","0","true","116","522","95","true"
"117","419","45","true","117","1462","35","true","117","1367","0","true","117","514","95","true"
"118","425","45","true","118","1467","35","true","118","1375","0","true","118","517","95","true"
"119","435","45","true","119","1496","35","true","119","1401","0","true","119","530","95","true"
"120","426","45","true","120","1466","35","true","120","1369","0","true","120","523","95","true"
"121","430","45","true","121","1485","35","true","121","1389","0","true","121","526","95","true"
"122","422","45","true","122","1459","35","true","122","1363","0","true","122","518","95","true"
"123","432","45","true","123","1485","35","true","123","1390","0","true","123","527","95","true"
"124","427","45","true","124","1464","35","true","124","1372","0","true","124","519","95","true"
"125","437","45","true","125","1494","35","true","125","1397","0","true","125","534","95","true"
"126","430","45","true","126","1475","35","true","126","1381","0","true","126","524","95","true"
"127","425","45","true","127","1456","35","true","127","1369","0","true","127","512","95","true"
"128","436","45","true","128","1486","35","true","128","1405","0","true","128","517","95","true"
"129","432","45","true","129","1466","35","true","129","1388","0","true","129","510","95","true"
"130","446","45","true","130","1486","35","true","130","1414","0","true","130","518","95","true"
"131","442","45","true","131","1475","35","true","131","1407","0","true","131","510","95","true"
"132","439","45","true","132","1458","35","true","132","1395","0","true","132","502","95","true"
"133","439","45","true","133","1444","35","true","133","1383","0","true","133","500","95","true"
"134","453","45","true","134","1483","35","true","134","1423","0","true","134","513","95","true"
"135","451","45","true","135","1466","35","true","135","1407","0","true","135","510","95","true"
"136","447","45","true","136","1452","35","true","136","1396","0","true","136","503","95","true"
"137","443","45","true","137","1445","35","true","137","1389","0","true","137","499","95","true"
"138","462","45","true","138","1495","35","true","138","1444","0","true","138","513","95","true"
"139","457","45","true","139","1489","35","true","139","1436","0","true","139","510","95","true"
"140","452","45","true","140","1480","35","true","140","1429","0","true","140","503","95","true"
"141","450","45","true","141","1464","35","true","141","1415","0","true","141","499","95","true"
"142","448","45","true","142","1454","35","true","142","1406","0","true","142","496","95","true"
"143","445","45","true","143","1441","35","true","143","1395","0","true","143","491","95","true"
"144","453","45","true","144","1462","35","true","144","1423","0","true","144","492","95","true"
"145","446","45","true","145","1446","35","true","145","1405","0","true","145","487","95","true"
"146","460","45","true","146","1461","35","true","146","1425","0","true","146","496","95","true"
"147","454","45","true","147","1447","35","true","147","1409","0","true","147","492","95","true"
"148","447","45","true","148","1433","35","true","148","1397","0","true","148","483","95","true"
"149","447","45","true","149","1459","35","true","149","1413","0","true","149","493","95","true"
"150","445","45","true","150","1443","35","true","150","1397","0","true","150","491","95","true"
"151","450","45","true","151","1457","35","true","151","1411","0","true","151","496","95","true"
"152","446","45","true","152","1444","35","true","152","1397","0","true","152","493","95","true"
"153","453","45","true","153","1463","35","true","153","1425","0","true","153","491","95","true"
"154","448","45","true","154","1441","35","true","154","1403","0","true","154","486","95","true"
"155","455","45","true","155","1442","35","true","155","1413","0","true","155","484","95","true"
"156","456","45","true","156","1433","35","true","156","1405","0","true","156","484","95","true"
"157","456","45","true","157","1444","35","true","157","1417","0","true","157","483","95","true"
"158","459","45","true","158","1447","35","true","158","1422","0","true","158","484","95","true"
"159","454","45","true","159","1441","35","true","159","1418","0","true","159","477","95","true"
"160","451","45","true","160","1444","35","true","160","1415","0","true","160","480","95","true"
"161","450","45","true","161","1443","35","true","161","1417","0","true","161","476","95","true"
"162","451","45","true","162","1446","35","true","162","1420","0","true","162","477","95","true"
"163","453","45","true","163","1451","35","true","163","1423","0","true","163","481","95","true"
"164","453","45","true","164","1446","35","true","164","1415","0","true","164","484","95","true"
"165","444","45","true","165","1438","35","true","165","1405","0","true","165","477","95","true"
"166","448","45","true","166","1441","35","true","166","1410","0","true","166","479","95","true"
"167","447","45","true","167","1434","35","true","167","1408","0","true","167","473","95","true"
"168","451","45","true","168","1433","35","true","168","1413","0","true","168","471","95","true"
"169","451","45","true","169","1436","35","true","169","1422","0","true","169","465","95","true"
"170","449","45","true","170","1432","35","true","170","1413","0","true","170","468","95","true"
"171","453","45","true","171","1434","35","true","171","1419","0","true","171","468","95","true"
"172","450","45","true","172","1434","35","true","172","1415","0","true","172","469","95","true"
"173","448","45","true","173","1436","35","true","173","1416","0","true","173","468","95","true"
"174","453","45","true","174","1433","35","true","174","1422","0","true","174","464","95","true"
"175","450","45","true","175","1431","35","true","175","1424","0","true","175","457","95","true"
"176","457","45","true","176","1430","35","true","176","1431","0","true","176","456","95","true"
"177","457","45","true","177","1425","35","true","177","1427","0","true","177","455","95","true"
"178","457","45","true","178","1425","35","true","178","1426","0","true","178","456","95","true"
"179","457","45","true","179","1430","35","true","179","1432","0","true","179","455","95","true"
"180","461","45","true","180","1424","35","true","180","1429","0","true","180","456","95","true"
"181","467","45","true","181","1421","35","true","181","1434","0","true","181","454","95","true"
"182","459","45","true","182","1425","35","true","182","1433","0","true","182","451","95","true"
"183","467","45","true","183","1431","35","true","183","1445","0","true","183","453","95","true"
"184","471","45","true","184","1434","35","true","184","1448","0","true","184","457","95","true"
"185","477","45","true","185","1427","35","true","185","1451","0","true","185","453","95","true"
"186","477","45","true","186","1428","35","true","186","1449","0","true","186","456","95","true"
"187","469","45","true","187","1412","35","true","187","1434","0","true","187","447","95","true"
"188","469","45","true","188","1417","35","true","188","1436","0","true","188","450","95","true"
"189","464","45","true","189","1423","35","true","189","1436","0","true","189","451","95","true"
"190","467","45","true","190","1420","35","true","190","1439","0","true","190","448","95","true"
"191","470","45","true","191","1423","35","true","191","1448","0","true","191","445","95","true"
"192","470","45","true","192","1431","35","true","192","1453","0","true","192","448","95","true"
"193","475","45","true","193","1453","35","true","193","1477","0","true","193","451","95","true"
